23;Kioto;Jl. Tangkasiang No. 48;https://maps.app.goo.gl/Bc6hJMn4MhQ2K9TT7;-2.194373383271729;113.9009600596608;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;20.000 - 60.000;20.000 - 33.000;4.6
24;Utama Café & Roastery;Jl. Lambung Mangkurat;https://maps.app.goo.gl/9pHrygimSZbBqqAYA;-2.213379706135827;113.91117661420826;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;13.000 - 50.000;11.000 - 28.000;4.7
25;Yomi Café;Jl. Sisingamangaraja;https://maps.app.goo.gl/gCEeMnREd1NY2KFN7;-2.2173116273321654;113.90868916891803;Indoor;Toilet, AC & Free Wi-Fi;10.000 - 18.000;8.000 - 10.000;4.5
26;Kopitiam Tjap Legenda;Jl. Nyai Undang No. 18;https://maps.app.goo.gl/Jhqk9tfGnyR5JB988;-2.223578270855441;113.93321229257184;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;13.000 - 28.000;5.000 - 20.000;4.0
27;Bejana Coffee;Jl. RTA Milono Km 5,5;https://maps.app.goo.gl/6rB5C4XMzEzx2fBb8;-2.251214168852815;113.92021027130178;Indoor & Outdoor;Toilet, AC, Bar & Live Music;10.000 - 45.000;8.000 - 35.000;4.6
28;Tanaka Coffee;Jl. Kelabat;https://maps.app.goo.gl/JtpdwZxBohQj3k9p6;-2.201559035029494;113.9056995382306;Indoor & Outdoor;Toilet, AC & Cat Friendly;20.000 - 40.000;20.000 - 30.000;4.4
29;Café Miltie Garden 4;Jl. Yos Sudarso;https://maps.app.goo.gl/8mhDHjZepjSTrR6t7;-2.2236394524598073;113.88819046891805;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;11.000 - 15.000;9.000 - 17.000;4.3
30;Karaya Space;Jl. Raden Saleh 1 No. 6B;https://maps.app.goo.gl/87Q1yYTDJu3xbVny7;-2.2195690444012075;113.91444149034824;Indoor & Outdoor;Toilet, Free-Wi-Fi & Sewa Kamera;15.000 - 29.000;13.000 - 40.000;4.8
31;Oregano;Jl. Kinibalu No. 120;https://maps.app.goo.gl/b3iXvmNwwhVMgABo7;-2.2031246300164997;113.90826293319304;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;17.000 - 35.000;11.000 - 33.000;4.1
32;Sakuyan Side;Jl. Mahir Mahar No. 101-102;https://maps.app.goo.gl/X4gCxtpriqHN7aG58;-2.2498934892626243;113.87114154008228;Indoor & Outdoor;Toilet, AC & Pemandangan Alam Terbuka;18.000 - 35.000;15.000 - 28.000;4.5
33;Season Coffee;Jl. Pantung No. 14;https://maps.app.goo.gl/sUJT2nmG1zLvGv6d9;-2.2173553193245614;113.93320920569187;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;18.000 - 40.000;8.000 - 25.000;4.0
34;Anggrek Koffie;Jl. Anggrek No. 2;https://maps.app.goo.gl/AiNYGmNMCcdiBqieA;-2.216221268850298;113.92628583029284;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;22.000 - 80.000;20.000 - 29.000;4.0
35;Maju Makmur Coffee;Jl. Nyai Rendem No. 18;https://maps.app.goo.gl/TMfLt2bm1v35Lxng6;-2.2238727619127965;113.92350329590268;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;12.000 - 140.000;6.000 - 35.000;4.6
36;Just Mine Coffee & Eatery;Jl. Beruk Angis 1 No. 16;https://maps.app.goo.gl/N5GnkJq4hdEEpaje9;-2.221585810814947;113.92274957236592;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;20.000 - 50.000;6.000 - 35.000;4.3
37;Aman Koffie;Jl. Galaxy II;https://maps.app.goo.gl/oGPrPm9CeFfcCaHc6;-2.2238059864288533;113.90130508241039;Indoor & Outdoor;Toilet & AC;20.000 - 40.000;15.000 - 40.000;4.9
38;Seperti Biasa;Jl. Antang Kalang No. 53A;https://maps.app.goo.gl/oMzFa3P7x3peEPSi9;-2.226479269658962;113.92676691733277;Indoor & Outdoor;Toilet & AC;15.000 - 18.000;20.000 - 28.000;4.6
39;Delicia Ice & Coffee;Jl. Temanggung Tandang No. 2;https://maps.app.goo.gl/puuPQJujTxFaRxEF8;-2.2214847446355632;113.92618230754333;Indoor & Outdoor;Toilet, AC, Tempat Bermain Anak-Anak & Free Wi-Fi;24.000 - 57.000;10.000 - 35.000;4.7
40;Urbane Coffee Roaster;Jl. Kahayan No. 19;https://maps.app.goo.gl/dbQDaeFxLgB8CMqNA;-2.2034791006380487;113.9166328596607;Indoor & Outdoor;Toilet, AC & Musholla;25.000 - 50.000;23.000 - 35.000;4.9
41;Beans Before Coffee;Jl. Raden Saleh Induk;https://maps.app.goo.gl/Vsz1PDSQrCqYZNwo7;-2.2220459654715428;113.91647317606888;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;15.000 - 25.000;8.000 - 28.000;4.3
42;Nakaya Cafe ;Jl. G. Obos No. 116A;https://maps.app.goo.gl/aUFsCFW5WFZGY7Lm6;-2.2282147832937635;113.89723693029282;Indoor & Outdoor;Toilet, AC, Free Wi-Fi & Carwash;15.000 - 30.000;5.000 - 35.000;4.5
43;Waroeng Koepi Djoeang;Jl. Cut Nyak Dien No. 29;https://maps.app.goo.gl/VQTQcD6N7CK1ZnBW9;-2.217264248130017;113.9069031136299;Indoor & Outdoor;Toilet & Free Wi-Fi;10.000 - 24.000;8.000 - 25.000;5.0
44;Massa Depan Coffee;Jl. R.A. Kartini No. 05;https://maps.app.goo.gl/XZ6bEBGjW2SkJFxo9;-2.2111290433711006;113.92511630939477;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;15.000 - 25.000;15.000 - 25.000;4.5
45;Garis Baru Coffee;Jl. Anggrek 1;https://maps.app.goo.gl/9C57r3RPkcqdn1xS9;-2.217840885785571;113.92461334748796;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;18.000 - 33.000;5.000 - 25.000;4.1
46;Efek Samping Coffee;Jl. Damang Leman;https://maps.app.goo.gl/ZEBv5KCAZQtNHo3c6;-2.210859080793826;113.91857307076954;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;15.000 - 50.000;16.000 - 31.000;3.7
47;Kubu Coffee;Jl. Yos Sudarso (Hotel D'Koemai);https://maps.app.goo.gl/HthkcVZr8KXWys5MA;-2.2237677754944056;113.88823421679204;Indoor;Toilet, AC & Free Wi-Fi;20.000 - 30.000;10.000 - 30.000;3.8
48;Aeter By Loca;Jl. S. Parman No. 15A;https://maps.app.goo.gl/o5q1HwKuL5zsGSe76;-2.202350337756824;113.9188976363792;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;12.000 - 51.000;11.000 - 27.000;4.4
49;Titik Balik Kopi;Jl. C. Bangas Induk No. 5;https://maps.app.goo.gl/gT1sC6Tx5cAPXN1dA;-2.2217125277426604;113.91868782103566;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;18.000 - 35.000;8.000 - 35.000;4.4
50;Berdua Coffee;Jl. M. H. Thamrin;https://maps.app.goo.gl/egUQBog1qei1G8XZA;-2.2113614183330927;113.91306011124618;Outdoor;Toilet;6.000 - 25.000;12.000 - 20.000;4.2
51;Asco Coffee and Eatery;Jl. Willem A. Samad No. 1;https://maps.app.goo.gl/JmFqekDxiiSd18DH9;-2.21796590659604;113.9165842596609;Indoor & Outdoor;Toilet, AC, Free Wi-Fi, Live Music & Golf;18.000 - 50.000;10.000 - 30.000;4.9
52;Cafe Garasi;Jl. Seth Adji No. 20;https://maps.app.goo.gl/AhuBrdCsgE3Na8r5A;-2.228927541963116;113.93108728055894;Indoor;Toilet;20.000 - 60.000;12.000 - 20.000;4.4
53;Kana Koffie;Jl. Sisingamangaraja;https://maps.app.goo.gl/vN4NgCndJB1EfYjw5;-2.2276036002996733;113.91647826336383;Indoor & Outdoor;Toilet, AC & Free Wi-Fi;8.000 - 35.000;20.000 - 35.000;4.7
54;Dokuta Coffee & Pastry;Jl. Tjilik Riwut;https://maps.app.goo.gl/xZyVDVc4nR1TBEYo9;-2.197634158768327;113.90563348547822;Indoor & Outdoor;Toilet, AC, Live Music & Free Wi-Fi;17.000 - 55.000;8.000 - 30.000;4.6
