129;3;Makanan;Chicken Brusetta;30000
130;3;Makanan;Chicken Nachos;31000
131;3;Makanan;Tahu Gejrot;28000
132;3;Makanan;Dr. Creamy Tortilla Pizza;39000
133;3;Makanan;Dr. Mix Snack;60000
134;3;Makanan;French Fries;25000
135;3;Makanan;Roti Kukus Cokelat;22000
136;3;Makanan;Special Pancake;28000
137;3;Makanan;Choco Lava;28000
138;3;Makanan;Toast Bread;22000
139;3;Makanan;Toast Egg;28000
140;3;Makanan;Tiramisu Banana;25000
141;3;Makanan;Caesar Salad;35000
142;3;Minuman;Banana Late;28000
143;3;Minuman;Cranberry Tea;28000
144;3;Minuman;Chocolate Piece;28000
145;3;Minuman;Split Coffee;28000
146;3;Minuman;Picolo Latte;28000
147;3;Minuman;Café Lattee;31000
148;3;Minuman;Mocha Lattee;31000
149;3;Minuman;Espresso;26000
150;3;Minuman;Americano;28000
151;3;Minuman;On The Rock;28000
152;3;Minuman;Dr. Sugar Browning;28000
153;3;Minuman;Dr. Mocha Prappe;31000
154;3;Minuman;Dr. Vanilla Prappe;31000
155;3;Minuman;Afogatto Coffee;31000
156;3;Minuman;Dr. Black Rose Coffee;31000
157;3;Minuman;Dr. Creamy Fruity Coffee;31000
158;3;Minuman;Filter Coffee;30000
159;3;Minuman;Vietnam Drip;30000
160;3;Minuman;Berry Biscous;28000
161;3;Minuman;Delicious Green Tea;28000
162;3;Minuman;Breakfast Tea;28000
163;3;Minuman;Platinum White Tea;28000
164;3;Minuman;Lemon Tea;28000
165;3;Minuman;Dr. Raspberry Tea;28000
166;3;Minuman;Dr. Yellow Sunrise Tea;28000
167;3;Minuman;Cholate Vanilla;28000
168;3;Minuman;Dr. Red Lavella;28000
169;3;Minuman;Dr. Lemojito;28000
170;3;Minuman;Dr. Heavy Greenery;28000
171;3;Minuman;Dr. Blue Ocean;28000
172;3;Minuman;Dr. Me Gusta tu;28000
173;3;Minuman;Dr. Navillera;28000
174;3;Minuman;Dr. Cookies and Cream;28000
175;3;Minuman;Dr. Strawberry Crunchy;28000
176;3;Minuman;Dr. Milky Smooth Crunchy;28000
177;3;Minuman;Green Matcha;28000
178;3;Minuman;Red Velvet;28000
179;3;Minuman;Taro Pure;28000
180;4;Makanan;Nasi Goreng Seafood;31000
181;4;Makanan;Nasi Goreng Kala Rindu;27000
182;4;Makanan;Fish N' Chips;36000
183;4;Makanan;Peda Balado;27000
184;4;Makanan;Nila Goreng;27000
185;4;Makanan;Nila Steamed;31000
186;4;Makanan;Tongkol Suwir Balado;29000
187;4;Makanan;Rawon Ayam;27000
188;4;Makanan;Rawon Sapi;26000
189;4;Makanan;Ayam Goreng Serundeng;29000
